url_length,digit_ratio,entropy,count_dots,count_hyphens,count_at,is_https,suspicious_tld,keyword_count
27,0.0,3.9121138909722286,1,0,0,1,0,0
28,0.0,3.797902689682947,1,1,0,1,0,0
37,0.0,3.796894919507588,2,1,0,1,0,0
43,0.16279069767441862,4.324309452719444,2,1,0,0,0,0
95,0.22105263157894736,4.769312714955571,2,7,0,1,0,0
36,0.25,4.392147223664536,2,0,0,0,0,0
35,0.11428571428571428,4.261725074756387,2,1,0,1,0,0
44,0.38636363636363635,4.498871107126152,2,0,0,0,0,0
37,0.16216216216216217,4.334736393288403,2,1,0,1,0,0
35,0.11428571428571428,4.397579003389629,2,1,0,1,0,0
28,0.10714285714285714,4.280394654123195,2,1,0,1,0,0
43,0.16279069767441862,4.388376603932548,2,1,0,0,0,0
27,0.14814814814814814,4.2824842613426,2,1,0,1,0,0
48,0.3125,4.363521032323434,2,0,0,0,0,0
87,0.20689655172413793,5.1685984218186345,2,0,0,1,0,0
66,0.24242424242424243,4.655776839180505,2,4,0,1,0,0
54,0.18518518518518517,4.609067076590744,2,2,0,0,0,0
29,0.20689655172413793,4.1852301329094015,2,1,0,1,0,0
46,0.21739130434782608,4.63758614079259,2,2,0,0,0,0
42,0.11904761904761904,4.39768795823549,2,1,0,1,0,0
44,0.1590909090909091,4.4905863803852375,2,1,0,1,0,0
35,0.2,4.343289445392768,2,1,0,0,0,0
41,0.21951219512195122,4.357075175138722,2,2,0,0,0,0
44,0.1590909090909091,4.487729629951765,2,0,0,0,0,0
42,0.21428571428571427,4.415661470191764,2,2,0,1,0,0
43,0.16279069767441862,4.4348882318395235,2,1,0,0,0,0
103,0.08737864077669903,4.972563456056763,2,5,0,0,0,0
106,0.2830188679245283,4.8553386211098175,3,1,0,1,0,0
107,0.2803738317757009,4.8476783527924105,3,1,0,1,0,0
69,0.18840579710144928,4.874343072777133,3,1,0,1,0,0
70,0.05714285714285714,4.55208833131771,5,0,0,1,0,0
53,0.33962264150943394,4.4707659171463945,2,0,0,1,0,0
66,0.16666666666666666,4.625473808877476,3,3,0,1,0,0
25,0.0,3.7638561897747245,1,0,0,1,0,0
29,0.0,3.840402546702505,1,0,0,1,0,0
29,0.0,3.6335059949783672,1,0,0,1,0,0
22,0.0,3.3862661425265332,1,0,0,1,0,0
26,0.0,3.609496334425698,1,0,0,1,0,0
35,0.0,3.9328743603470464,2,2,0,1,0,0
33,0.0,3.9195633472747042,2,2,0,0,0,0
37,0.0,4.3374354600481295,2,2,0,1,0,1
22,0.0,3.8796640049025943,1,0,0,1,0,0
195,0.39487179487179486,4.938787884657917,5,0,1,1,0,0
150,0.24,4.795756524733181,6,2,1,1,0,0
154,0.23376623376623376,4.780911926606398,5,2,1,1,0,0
21,0.0,3.7489948035250955,1,0,0,1,0,0
25,0.0,3.833269689515108,2,0,0,1,0,0
21,0.0,3.8801799226757385,1,0,0,1,0,0
25,0.0,3.9434651896016466,2,0,0,1,0,0
34,0.0,3.900270841938567,1,2,0,1,0,0
38,0.0,4.007942895581381,2,2,0,1,0,0
35,0.0,3.771860873964197,2,1,0,1,0,0
27,0.0,3.7821222241453056,1,0,0,1,1,0
26,0.0,3.8150724101159437,1,0,0,1,1,0
29,0.0,3.676440908696868,1,0,0,1,1,0
28,0.0,3.6995138503199665,1,0,0,1,1,0
25,0.0,3.783465189601647,1,0,0,1,1,0
24,0.0,3.8239348962840563,1,0,0,1,1,0
25,0.0,3.509275070710713,1,0,0,1,1,0
24,0.0,3.5383201891060008,1,0,0,1,1,0
24,0.0,3.688721875540869,1,0,0,1,1,0
23,0.0,3.7294461949052558,1,0,0,1,1,0
26,0.0,3.690260390968386,1,0,0,1,1,0
25,0.0,3.723074189428569,1,0,0,1,1,0
24,0.0,3.6887218755408675,1,0,0,1,1,0
45,0.044444444444444446,4.624751985026255,1,0,0,1,0,0
70,0.11428571428571428,5.143289445392769,3,4,0,1,0,1
54,0.0,4.263307179126723,2,0,0,1,0,0
35,0.02857142857142857,4.286146588249911,1,0,0,1,0,0
41,0.0,4.113172736114332,3,0,0,1,0,0
22,0.0,3.6292196865240975,2,0,0,1,0,0
51,0.0,4.209107881518737,3,0,0,1,0,0
32,0.0,4.007048827786957,2,0,0,1,0,0
46,0.0,4.194879010866496,3,0,0,1,0,0
27,0.0,3.856196298219379,2,0,0,1,0,0
50,0.0,4.326370130156181,3,0,0,1,0,0
31,0.0,3.937751955408588,2,0,0,1,0,0
39,0.05128205128205128,4.580023372597454,1,0,0,1,0,0
88,0.1590909090909091,4.7318261538719755,2,6,0,1,0,0
63,0.0,4.412147242005826,3,2,1,1,0,0
40,0.0,4.206198332810096,2,3,0,1,0,0
78,0.3717948717948718,4.769018488415644,3,6,0,1,0,0
32,0.0,3.9764097655573916,2,0,0,1,0,0
36,0.19444444444444445,4.239097917988787,2,0,0,1,0,0
56,0.125,4.30130677156408,1,2,0,1,0,0
60,0.11666666666666667,4.334578988481229,2,2,0,1,0,0
40,0.0,4.006198332810096,2,0,0,0,0,0
40,0.0,4.2964393446710165,2,1,0,1,0,1
32,0.0,3.718139062229566,3,0,0,1,0,0
31,0.0,4.066784213473104,2,1,0,1,0,0
64,0.046875,4.1869996115311405,2,1,0,1,0,0
65,0.09230769230769231,4.389214306591207,4,0,1,0,0,0
175,0.10857142857142857,5.433977259239537,2,1,0,1,0,0
40,0.025,4.106198332810095,2,2,0,1,0,0
183,0.08743169398907104,5.4974719740297235,2,2,0,1,0,0
36,0.3055555555555556,4.474937501201928,2,1,0,1,0,0
31,0.0,4.018081793978686,2,0,0,1,0,0
29,0.06896551724137931,4.1162646156680225,2,1,0,0,0,0
65,0.2153846153846154,4.5084658438914085,3,1,0,0,0,0
66,0.21212121212121213,4.553430058844696,3,1,0,1,0,0
51,0.0,4.037949921652059,3,0,0,1,0,0
38,0.0,4.056237710413473,2,0,0,1,0,1
35,0.0,4.185867302411999,2,0,0,1,0,1
19,0.05263157894736842,3.6421498816369047,1,0,0,1,0,0
44,0.0,4.191830766118723,2,2,0,1,0,0
47,0.0,4.1452520227940735,2,1,0,1,0,0
118,0.1271186440677966,4.821434869530608,2,4,0,1,0,0
21,0.0,3.7849418274376414,1,1,0,0,0,0
23,0.0,3.849223912390624,1,1,0,1,0,0
37,0.0,4.2160780277326415,2,0,0,1,0,0
34,0.0,4.314972767530035,2,1,0,1,0,0
